Node,Betweenness Centrality,Closeness Centrality,Degree Centrality
 coldplay,0.0,0.003205128205128205,0.003205128205128205
 virendersehwag,0.0,0.00641025641025641,0.00641025641025641
 VVSLaxman281,0.0,0.003205128205128205,0.003205128205128205
 shreyaghoshal,0.0,0.003205128205128205,0.003205128205128205
 piersmorgan,0.0,0.003205128205128205,0.003205128205128205
 msdhoni,0.0,0.003205128205128205,0.003205128205128205
 bhogleharsha,0.0,0.003205128205128205,0.003205128205128205
 NSaina,0.0,0.01282051282051282,0.01282051282051282
 RNTata2000,0.0,0.00641025641025641,0.00641025641025641
 harbhajan_singh,0.0,0.003205128205128205,0.003205128205128205
 GautamGambhir,0.0,0.00641025641025641,0.00641025641025641
 BCCI,0.0,0.003205128205128205,0.003205128205128205
 rogerfederer,0.0,0.00641025641025641,0.00641025641025641
 RanveerOfficial,0.0,0.019230769230769232,0.019230769230769232
 mangeshkarlata,0.0,0.009615384615384616,0.009615384615384616
 ImRaina,0.0,0.00641025641025641,0.00641025641025641
 ImRo45,0.0,0.003205128205128205,0.003205128205128205
 Dharmatic_,0.0,0.003205128205128205,0.003205128205128205
